Person_type,Colour,Height,Age,Gender,Head,Torso,Legs,Feet,Accessories,Blood,Armed,Banners,Type,x_min,y_min,x_max,y_max,Actions
Delinquent ,Native,1.75,28,M,Helmet|face mask,Sweater,Jeans,Sneakers,None,No,No,None,Seated,316,81,377,172,10
Law Officer,Native,1.76,29,M,Face mask,Sweater,Pants,N.I,None,No,No,None,Moving,149,1,216,256,13
Law Officer,White,1.71,38,M,Face mask,Sweater,Jeans,N.I,None,No,No,None,Moving,197,38,241,306,13
Delinquent ,Native,1.73,19,M,Face mask,Sweater,Pants,N.I,None,No,No,None,Moving,246,25,325,275,9
Law Officer,White,1.80,32,M,Cap|face mask,Sweater,Pants,N.I,None,No,No,None,Moving,28,91,258,360,9
Delinquent ,Black,1.71,19,M,Face mask,Sweater,Jeans,N.I,None,No,No,None,Moving,197,99,299,360,5
Delinquent ,Native,1.69,22,M,Face mask,Sweater,Jeans,N.I,None,No,No,None,Moving,298,114,400,355,5
Law Officer,Native,1.77,27,M,Cap|face mask,Jacket,Pants,N.I,None,No,No,None,Moving,336,84,515,356,5
Delinquent ,White,1.74,30,M,Face mask,Coat|sweater,Pants,N.I,None,No,No,None,Moving,56,32,179,348,5
Delinquent ,Native,1.71,28,M,Face mask,Sweater,Pants,N.I,None,No,No,None,Moving,138,48,325,356,5
Delinquent ,Native,1.73,26,M,Face mask,Sweater,Pants,N.I,None,No,No,None,Moving,338,44,442,360,5
Law Officer,White,1.75,44,M,Cap|glasses|face mask,Jacket|shirt,Pants,N.I,None,No,Gun,None,Standing,1,15,105,282,9
Law Officer,White,1.76,46,M,Cap|glasses|face mask,Jacket|shirt,Pants,N.I,None,No,Gun,None,Standing,212,27,374,335,9
Law Officer,White,1.70,35,F,Cap|glasses|face mask,Jacket|shirt,Pants,N.I,None,No,Gun,None,Standing,388,69,649,350,9
Law Officer,Native,1.69,52,M,Cap|glasses|face mask,Jacket|shirt,Pants,N.I,None,No,Gun,None,Standing,472,94,540,327,9
Law Officer,White,1.81,38,M,Face mask,Jacket|shirt,Jeans,Shoes,None,No,Gun,None,Standing,97,13,172,187,9
Delinquent ,Native,N.I,N.I,M,None,Coat,Pants,Sneakers,None,No,No,None,Standing,107,165,201,265,5
Delinquent ,White,N.I,N.I,M,None,T-shirt,Pants,Sneakers,None,No,No,None,Standing,254,183,337,254,5
Law Officer,Native,1.73,31,F,Cap|glasses|face mask,Shirt,Pants,Boots,None,No,Gun,None,Standing,263,36,325,216,9
Viewer,Black,1.70,36,M,Cap|glasses|face mask,T-shirt,Shorts,N.I,None,No,No,None,Standing,219,20,250,123,9
Viewer,Black,1.67,36,M,Face mask,T-shirt,Shorts,N.I,None,No,No,None,Standing,243,25,272,117,9
Law Officer,Black,1.79,34,M,Helmet|face mask,Jacket,Pants,Boots,None,No,Gun,None,Crouched,297,74,371,271,9
Law Officer,Black,1.75,44,M,Face mask,Jacket,Pants,Boots,None,No,No,None,Standing,655,35,855,373,9
Law Officer,White,1.73,50,M,Face mask,Shirt,Jeans,Shoes,None,No,No,None,Moving,146,115,249,373,9
Law Officer,Native,1.73,33,M,Face mask,Jacket,Pants,Shoes,None,No,No,None,Moving,239,119,389,497,9
Law Officer,Black,1.70,29,M,Cap|face mask,Jacket,Jeans,Sneakers,None,No,No,None,Moving,624,117,780,492,9
Victim,Native,N.I,N.I,M,None,T-shirt,Pants,N.I,None,No,No,None,Dead,487,178,1016,510,5
Viewer,Black,1.70,45,M,Cap|face mask,T-shirt,Shorts,N.I,None,No,No,None,Moving,128,260,223,517,5
Viewer,White,1.66,26,M,Hat|face mask,T-shirt,Jeans,N.I,None,No,No,None,Moving,265,290,352,505,5
Viewer,Native,1.63,35,F,Face mask,Shirt,Jeans,N.I,None,No,No,None,Moving,794,300,852,465,5
Viewer,White,1.75,39,F,Face mask,Blouse,Pants,N.I,None,No,No,None,Moving,853,300,885,484,5
Viewer,Black,1.71,46,F,Face mask,Blouse,Pants,N.I,None,No,No,None,Moving,889,299,945,499,5
Viewer,Black,1.73,26,M,Face mask,Shirt,Pants,Sneakers,None,No,No,None,Moving,984,301,1013,500,5
Viewer,Black,1.60,29,M,Face mask,T-shirt,Pants,Shoes,None,No,No,None,Moving,1020,318,1106,527,5
Viewer,Native,1.66,27,M,Face mask,T-shirt,Pants,Shoes,None,No,No,None,Moving,1063,278,1127,484,5
Law Officer,N.I,1.73,34,M,Face mask,Protective suit,Protective pants,Boots,None,No,No,None,Moving,185,305,286,720,9
Law Officer,N.I,1.70,44,M,Face mask,Protective suit,Protective pants,Boots,None,No,No,None,Moving,306,331,458,649,9
Victim,N.I,N.I,N.I,M,None,T-shirt,Pants,None,None,No,No,None,Still,226,544,703,677,5
Law Officer,N.I,1.72,38,M,Face mask,Protective suit,Protective pants,Boots,None,No,No,None,Moving,603,335,781,690,13
Law Officer,White,1.68,46,M,Face mask,Jacket,Jeans,N.I,None,No,No,None,Standing,1083,365,1248,677,13
Law Officer,Native,1.69,33,M,Face mask,Jacket,Jeans,Shoes,None,No,No,None,Crouched,314,122,835,601,13
Law Officer,Native,1.66,34,M,Face mask,Jacket,Jeans,N.I,None,No,No,None,Crouched,1093,25,1263,457,13
Delinquent ,White,1.76,38,M,Face mask,T-shirt,Shorts,N.I,None,No,No,None,Standing,502,79,780,662,5
Viewer,Native,1.79,23,M,Face mask,Sweater,Shorts,N.I,None,No,No,None,Moving,78,147,181,566,9
Viewer,Native,1.73,22,M,Face mask,T-shirt,Shorts,N.I,None,No,No,None,Moving,183,188,279,556,9
Viewer,Native,1.69,25,F,Face mask,T-shirt,Jeans,N.I,None,No,No,None,Moving,415,197,493,560,9
Viewer,Native,1.68,24,F,Face mask,T-shirt,Jeans,N.I,None,No,No,None,Moving,457,196,574,570,9
Viewer,Native,1.74,19,M,Face mask,T-shirt,Shorts,N.I,None,No,No,None,Moving,807,153,922,573,9
Viewer,Native,1.71,22,M,Face mask,T-shirt,Pants,N.I,None,No,No,None,Moving,898,151,1059,593,9
Viewer,Native,1.68,18,F,Face mask,T-shirt,Pants,N.I,None,No,No,None,Moving,1022,180,1157,599,9
Delinquent ,Native,1.67,27,M,None,T-shirt,N.I,N.I,None,No,No,None,Still,491,57,901,632,5
Delinquent ,Native,1.69,26,M,Face mask,Jacket,N.I,N.I,None,No,No,None,Standing,22,43,372,720,5
Delinquent ,Native,1.74,28,M,Face mask,Jacket,N.I,N.I,None,No,No,None,Standing,405,35,837,709,5
Delinquent ,Native,1.64,27,M,Face mask,Jacket,N.I,N.I,None,No,No,None,Standing,878,80,1249,708,5
Law Officer,Native,1.68,48,M,Cap|face mask,Sweater,N.I,N.I,None,No,No,None,Standing,1,198,141,699,13
Law Officer,White,1.73,53,M,Cap|face mask,Shirt,Pants,N.I,None,No,No,None,Standing,55,175,192,603,13
Delinquent ,Native,1.64,23,M,Face mask,Jacket,Jeans,N.I,None,No,No,None,Standing,165,265,328,664,5
Delinquent ,Native,1.66,22,M,Cap|face mask,T-shirt,Jeans,N.I,None,No,No,None,Standing,400,217,522,720,5
Law Officer,Native,1.80,33,M,Cap|face mask,Jacket|sweater,Pants,N.I,None,No,No,None,Crouched,500,290,824,684,5
Delinquent ,Native,1.74,18,M,Face mask,Hoodie,Jeans,N.I,None,No,No,None,Standing,775,179,929,713,5
Law Officer,Black,1.73,42,M,Cap ,T-shirt,Pants,N.I,None,No,No,None,Standing,840,149,1135,720,5
Delinquent ,Black,1.76,38,M,None,T-shirt,Pants,N.I,None,No,No,None,Standing,1033,126,1265,717,5
Law Officer,White,1.73,33,M,Beret|face mask,Jacket|shirt,Pants,Boots,None,No,Gun,None,Moving,1,1,93,346,13
Delinquent ,White,1.69,40,M,Face mask,T-shirt,Jeans,Shoes,None,No,No,None,Moving,47,1,160,350,5
Law Officer,Native,1.70,29,M,Beret|face mask,Jacket|shirt,Pants,Boots,None,No,Gun,None,Moving,87,41,175,342,13
Victim,Native,1.73,23,M,None,Jacket,N.I,N.I,None,No,No,None,Dead,144,7,402,347,9
Viewer,White,1.69,22,F,Glasses|face mask,Blouse,Shorts,Sneakers,None,No,No,None,Still,215,23,281,291,7
Delinquent ,N.I,1.72,29,M,Cap|face mask,Sweater,Pants,Sneakers,None,No,Gun,None,Moving,148,61,208,300,10
Delinquent ,N.I,1.72,33,M,None,Sweater,Pants,Sneakers,None,No,Gun,None,Moving,206,104,278,360,10
Delinquent ,N.I,1.70,28,M,Cap|face mask,Sweater,Pants,Sneakers,None,No,Gun,None,Moving,298,87,371,360,8
Viewer,White,1.68,26,M,Face mask,T-shirt,Pants,Sneakers,None,No,No,None,Standing,97,65,148,230,11
Law Officer,White,1.70,37,M,Face mask,Jacket,Pants,Shoes,None,No,Gun,None,Moving,239,113,285,297,13
Law Officer,Native,1.67,40,M,Face mask,Jacket,Pants,Shoes,None,No,Gun,None,Moving,281,76,335,252,13
Viewer,Native,1.65,58,M,None,T-shirt,Jeans,N.I,None,No,No,None,Standing,120,105,200,298,9
Viewer,Native,1.67,46,M,None,T-shirt,Jeans,N.I,None,No,No,None,Standing,378,103,480,288,9
Viewer,White,1.63,61,F,Cap|glasses|face mask,Shirt,N.I,N.I,None,No,No,None,Standing,81,24,338,339,9
Viewer,Native,N.I,57,M,None,T-shirt,N.I,N.I,None,No,No,None,Seated,159,32,393,277,11
Delinquent ,N.I,1.70,N.I,M,Helmet,Coat,Pants,N.I,None,No,Gun,None,Moving,532,121,676,297,10
Delinquent ,N.I,1.73,N.I,M,Helmet,Coat,Pants,N.I,None,No,Gun,None,Moving,762,157,884,377,10
Victim,Native,1.61,51,F,Face mask,Sweater,Pants,N.I,None,No,No,None,Still,866,187,965,440,5
Law Officer,Native,1.67,32,M,Cap|face mask,Sweater,Pants,Boots,None,No,No,None,Moving,323,126,462,499,13
Delinquent ,Black,1.76,29,F,Cap,Sweater,Jeans,Sneakers,None,No,No,None,Moving,470,134,566,493,5
Law Officer,Native,1.68,36,M,Cap|face mask,Sweater,Pants,Boots,None,No,No,None,Moving,536,161,697,496,13
Viewer,White,1.75,23,M,Face mask,Sweater,Jeans,Sneakers,None,No,No,None,Moving,527,100,733,497,5
Viewer,Native,1.77,27,M,Face mask,Sweater,Pants,N.I,None,No,No,None,Moving,526,121,736,683,5
Viewer,Native,1.67,34,M,Cap,Sweater,Pants,Sneakers,None,No,No,None,Moving,533,228,824,669,5
Viewer,Native,1.77,27,M,Face shield|face mask,Sweater|backpack,Pants,N.I,None,No,No,None,Moving,520,139,819,720,5
Viewer,Native,1.64,27,F,Cap,Sweater,Joggers,Sneakers,None,No,No,None,Moving,441,130,658,720,5
Delinquent ,White,1.65,40,M,None,T-shirt,Shorts,Sneakers,None,No,No,None,Crouched,476,186,1097,697,5
Delinquent ,Native,1.65,36,M,None,Hoodie,N.I,N.I,None,No,No,None,Standing,529,108,844,608,5
Law Officer,Black,1.70,29,M,Beret|face mask,Jacket,N.I,N.I,None,No,No,None,Standing,178,71,539,640,13
Law Officer,Native,1.68,37,M,Cap|face mask,Jacket,N.I,N.I,None,No,No,None,Standing,881,65,1187,654,13
Law Officer,N.I,1.74,N.I,M,Helmet,Jacket,Pants,N.I,None,No,No,None,Standing,320,426,397,567,13
Law Officer,N.I,1.71,N.I,F,Face mask,Jacket,Pants,N.I,None,No,No,None,Standing,371,480,435,599,13
Law Officer,N.I,1.68,N.I,M,Face mask,Jacket,Pants,N.I,None,No,No,None,Standing,501,464,574,617,13
Law Officer,N.I,1.67,N.I,M,Face mask,Jacket,Pants,N.I,None,No,No,None,Standing,574,473,641,588,13
Law Officer,N.I,1.69,N.I,F,Face mask,Jacket,Pants,Shoes,None,No,No,None,Standing,620,479,707,610,13
Law Officer,N.I,1.74,N.I,M,Face mask,Jacket,Pants,Shoes,None,No,No,None,Standing,622,343,728,510,13
Law Officer,N.I,1.64,N.I,M,Face mask,Jacket,Pants,N.I,None,No,No,None,Moving,629,152,701,315,13
Delinquent ,Black,1.71,18,M,None,Hoodie,Shorts,Sneakers,None,No,No,None,Moving,685,162,737,345,11
Victim,Native,1.73,45,M,Cap|face mask,Jacket|shirt,Pants,Shoes,None,No,No,None,Still,261,123,349,453,4
Viewer,White,1.66,18,F,Face mask,Jacket|blouse,Pants,Sneakers,None,No,No,None,Moving,441,71,474,170,12
Viewer,Native,1.59,63,F,Face mask,T-shirt,Jeans,Sneakers,None,No,No,None,Moving,385,121,474,352,12
Viewer,White,1.62,57,F,Face mask,Sweater,N.I,Sneakers,None,No,No,None,Moving,420,479,658,706,12
Delinquent ,Black,1.71,22,M,Face shield|face mask,Hoodie,Jeans,Sneakers,None,No,Gun,None,Moving,666,256,871,660,8
Viewer,Native,1.68,24,F,Face shield|face mask,Sweater,Joggers,Sneakers,None,No,No,None,Moving,975,173,1046,399,12
Viewer,Native,1.67,30,M,Face mask,T-shirt,Pants,Sneakers,None,No,No,None,Moving,1054,162,1110,334,12
Viewer,Native,1.54,29,F,Face mask,Sweater,Joggers,Sneakers,None,No,No,None,Moving,1144,219,1188,360,12
Delinquent ,Native,1.73,21,M,Face shield|face mask,Jacket,Joggers,Sneakers,None,No,Gun,None,Moving,1175,266,1248,540,8
Delinquent ,N.I,1.75,26,M,Helmet,Sweater,Pants,Sneakers,None,No,No,None,Seated,346,147,566,503,1
Delinquent ,White,1.70,23,M,Glasses|face mask,Jacket,Jeans,Sneakers,None,No,Gun,None,Seated,406,82,920,647,8
Delinquent ,White,1.72,22,M,Face mask,T-shirt,N.I,N.I,Tattoos,No,No,None,Seated,446,30,842,709,1
Law Officer,Native,1.77,43,M,Face mask,Jacket,N.I,N.I,None,No,No,None,Moving,136,110,502,720,12
Delinquent ,White,1.72,23,M,Face mask,Sweater,N.I,N.I,None,No,No,None,Moving,494,197,789,709,12
Law Officer,White,1.74,28,M,Face mask,Jacket,Jeans,N.I,None,No,No,None,Moving,727,147,915,700,12
Law Officer,White,1.67,34,F,Face mask,Jacket,Pants,Shoes,None,No,No,None,Standing,975,261,1071,541,12
Law Officer,Native,1.69,39,M,Cap|face mask,Jacket,Pants,Boots,None,No,No,None,Standing,1068,212,1227,587,12
Viewer,Black,1.72,35,M,Face mask,T-shirt,Pants,Boots,None,No,No,None,Moving,152,109,219,229,12
Delinquent ,N.I,1.73,40,M,None,Coat,N.I,N.I,None,No,No,None,Moving,208,121,236,175,10
Delinquent ,N.I,1.75,29,M,None,Coat,N.I,N.I,None,No,No,None,Seated,247,120,291,172,1
Delinquent ,N.I,1.68,37,M,Helmet,Sweater|backpack,Jeans,Sneakers,None,No,No,None,Seated,269,125,306,171,1
Delinquent ,N.I,1.70,33,M,Helmet,Sweater|backpack,Pants,Sneakers,None,No,No,None,Moving,341,118,362,173,10
Viewer,White,1.80,46,M,Face mask,Shirt,Pants,Shoes,None,No,No,None,Still,408,110,484,189,11
Viewer,Native,1.57,23,F,Face mask,Blouse,Jeans,N.I,None,No,No,None,Moving,270,153,370,332,5
Viewer,White,1.73,32,M,Face mask,Sweater,Jeans,N.I,None,No,No,None,Standing,251,85,401,341,12
Viewer,Native,1.64,46,F,Face mask,Blouse,Jeans,N.I,None,No,No,None,Moving,423,153,492,341,12
Viewer,White,1.69,51,M,Face shield|face mask,Shirt,Jeans,N.I,None,No,No,None,Moving,432,135,517,307,12
Viewer,Black,1.67,29,F,Face mask,T-shirt,Shorts,N.I,None,No,No,None,Moving,532,131,583,294,12
Viewer,Native,1.66,39,F,Face mask,T-shirt,Pants,N.I,None,No,No,None,Moving,549,146,625,360,12
Viewer,Native,1.62,35,F,Face mask,T-shirt,Jeans,N.I,None,No,No,None,Moving,576,127,629,292,12
Law Officer,Native,1.75,29,M,Cap|face mask,Sweater,Pants,N.I,None,No,Gun,None,Standing,11,86,110,320,13
Law Officer,White,1.77,44,M,Face mask,Jacket,Pants,N.I,None,No,No,None,Standing,129,85,242,349,13
Law Officer,White,1.70,28,M,Cap|face mask,Jacket,Pants,N.I,None,No,No,None,Standing,186,88,260,294,13
Law Officer,Native,1.71,35,M,Face mask,Jacket,Pants,N.I,None,No,No,None,Standing,258,99,356,336,13
Law Officer,White,1.74,41,M,Cap|face mask,Jacket,Pants,N.I,None,No,No,None,Standing,321,91,434,310,13
Law Officer,White,1.68,38,F,Face mask,Jacket,Pants,N.I,None,No,No,None,Standing,440,119,540,293,13
Law Officer,Black,1.77,54,M,Face mask,Jacket,Pants,N.I,None,No,No,None,Standing,517,74,625,309,13
Delinquent ,Black,1.70,18,M,None,Coat,Pants,Shoes,None,No,No,None,Moving,171,169,294,304,7
Victim,White,1.72,32,F,None,Sweater,Joggers,Sneakers,None,No,No,None,Standing,257,81,324,188,10
Delinquent ,N.I,1.73,N.I,M,None,Jacket,Pants,Sneakers,None,No,No,None,Crouched,143,124,216,285,3
Victim,N.I,1.75,N.I,M,None,Sweater,Pants,Sneakers,None,No,No,None,Crouched,210,142,291,267,3
Delinquent ,N.I,1.70,N.I,M,None,Jacket,Pants,Sneakers,None,No,No,None,Standing,257,133,356,262,3
Viewer,N.I,1.72,N.I,M,Helmet,Jacket,Pants,Sneakers,None,No,No,None,Moving,422,10,484,112,6
Victim,Native,1.65,31,M,None,T-shirt,Pants,Shoes,None,No,No,None,Still,96,120,135,284,5
Victim,White,1.72,40,M,None,T-shirt,Pants,Shoes,None,No,No,None,Still,132,97,226,280,5
Victim,Native,1.70,52,M,None,T-shirt,Pants,Shoes,None,No,No,None,Still,292,154,369,336,5
Victim,Native,1.67,16,F,None,Sweater,Skirt,Sneakers,None,No,No,None,Still,373,192,426,359,5
Delinquent ,Black,1.75,22,M,Cap,Sweater,Joggers,Sneakers,None,No,Gun,None,Moving,404,199,479,357,10
Victim,Black,1.63,15,F,None,Sweater,Skirt,Shoes,None,No,No,None,Seated,442,217,520,352,5
Aggressor,Black,1.67,28,M,None,T-shirt,Jeans,Sneakers,None,No,No,None,Standing,262,44,322,299,3
Victim,Black,1.68,31,M,None,T-shirt,Jeans,Sneakers,None,No,No,None,Standing,289,42,389,279,3
Delinquent ,N.I,1.76,33,M,None,T-shirt,Jeans,N.I,None,No,No,None,Standing,95,146,188,350,5
Victim,N.I,1.74,27,M,None,Coat|backpack,Joggers,N.I,None,No,No,None,Standing,124,138,276,319,10
Delinquent ,Black,1.70,23,M,None,Coat|backpack,Joggers,Sneakers,None,No,Gun,None,Moving,202,157,295,283,10
Delinquent ,Black,1.68,25,M,None,Coat|backpack,Jeans,Sneakers,None,No,Gun,None,Moving,451,171,507,285,10
Delinquent ,Black,1.72,29,M,None,Sweater,Joggers,Sneakers,None,No,Gun,None,Moving,301,32,403,159,10
Viewer,Native,1.64,63,F,None,Blouse,Pants,Shoes,None,No,No,None,Standing,53,136,124,285,5
Viewer,White,1.72,19,M,Face mask,T-shirt|backpack,Pants,Sneakers,None,No,No,None,Moving,433,111,502,264,5
Delinquent ,White,1.70,41,M,Cap,T-shirt,Shorts,Sneakers,None,No,No,None,Standing,409,138,487,347,10
Victim,Native,1.67,29,F,None,Blouse,Jeans,Shoes,None,No,No,None,Standing,475,138,535,356,5
Aggressor,Black,1.70,33,M,Beanie ,Sweater,Shorts,Sneakers,None,No,No,None,Standing,249,77,358,266,3
Aggressor,White,1.70,31,M,None,T-shirt,Shorts,Sneakers,None,No,No,None,Standing,331,77,439,289,3
Delinquent ,N.I,1.78,27,M,Beanie,Sweater,Joggers,Sneakers,None,No,No,None,Standing,210,46,285,230,3
Delinquent ,N.I,1.74,24,M,None,T-shirt,Joggers,Sneakers,None,No,No,None,Standing,248,42,337,195,3
Victim,N.I,1.75,32,M,Cap,T-shirt,Joggers,Sneakers,None,No,No,None,Standing,298,81,402,258,3
Victim,White,1.72,27,F,None,Blouse,Skirt,Sneakers,Tattoos,No,No,None,Standing,474,35,806,682,5
Viewer,White,1.76,29,M,Glasses,Sweater,N.I,N.I,None,No,No,None,Standing,272,57,658,638,5
Victim,White,1.72,27,F,None,Blouse,N.I,N.I,Tattoos,No,No,None,Standing,555,95,1006,674,5
Law Officer,Native,1.79,43,M,None,Shirt,Pants,N.I,None,No,Gun,None,Crouched,323,284,620,679,0
Law Officer,Black,1.77,34,M,Cap,T-shirt,Pants,N.I,None,No,No,None,Crouched,583,270,867,590,0
Law Officer,Native,1.73,39,M,None,Jacket,Pants,N.I,None,No,No,None,Crouched,33,122,228,617,0
Law Officer,Native,1.67,33,M,None,Jacket,Pants,N.I,None,No,Gun,None,Crouched,111,73,379,605,0
Law Officer,Native,1.70,31,M,None,Jacket,Pants,N.I,None,No,No,None,Standing,383,158,718,658,0
Law Officer,Black,1.71,29,M,Cap,Jacket,Pants,Shoes,None,No,Gun,None,Standing,616,132,848,647,0
Law Officer,Black,1.68,36,M,None,Shirt,Pants,Shoes,None,No,Gun,None,Standing,707,113,1148,653,0
Law Officer,Native,1.72,29,M,Cap,Shirt,Pants,N.I,None,No,Gun,None,Standing,1019,157,1258,575,0
Law Officer,White,1.75,43,M,None,Jacket,Pants,N.I,None,No,Gun,None,Standing,510,83,875,644,0
Law Officer,White,1.70,27,M,Beret,Jacket,Pants,N.I,None,No,Gun,None,Standing,727,21,1175,658,0
Law Officer,Native,1.69,26,M,Cap,T-shirt,Jeans,N.I,None,No,Gun,None,Standing,10,147,178,544,0
Law Officer,White,1.77,33,M,None,T-shirt,Jeans,N.I,None,No,Gun,None,Standing,115,177,731,380,0
Law Officer,Native,1.73,34,M,Cap,Shirt,Pants,N.I,None,No,No,None,Standing,605,15,876,208,13
Law Officer,White,1.78,36,M,None,Shirt,Pants,N.I,None,No,No,None,Standing,26,351,188,621,13
Viewer,Black,1.73,34,M,Glasses ,T-shirt,N.I,N.I,None,No,No,None,Moving,211,193,380,547,12
Viewer,Black,1.71,41,M,None,T-shirt,N.I,N.I,None,No,No,None,Moving,266,239,553,669,12
Viewer,Black,1.70,18,M,Cap,T-shirt,Jeans,Sneakers,None,No,No,None,Crawling,684,248,887,521,5
Viewer,Black,1.68,21,M,Cap,T-shirt,Shorts,Sneakers,None,No,No,None,Crawling,689,477,950,587,5
Viewer,Native,1.65,18,M,None,T-shirt,Jeans,Sneakers,None,No,No,None,Crawling,257,279,435,640,5
Law Officer,Native,1.68,34,M,Cap,T-shirt,Pants,N.I,None,No,No,None,Crouched,835,260,965,496,13
Law Officer,White,1.71,45,M,Helmet,Jacket,Pants,Boots,None,No,No,None,Crouched,816,434,1120,496,13
Law Officer,Black,1.72,40,M,Helmet,Jacket,Pants,Boots,None,No,No,None,Crouched,749,488,1161,574,13
Law Officer,Black,1.68,39,M,Helmet,Jacket,Pants,Boots,None,No,No,None,Crouched,211,191,353,380,13
Viewer,Black,1.70,24,M,Cap,T-shirt,Jeans,Sneakers,None,No,No,None,Crawling,510,169,831,321,5
Law Officer,White,1.71,37,M,Helmet,Jacket,Pants,Boots,None,No,No,None,Moving,398,113,568,243,13
Law Officer,Black,1.73,35,M,Helmet,Jacket,Pants,Boots,None,No,No,None,Moving,679,58,801,256,13
Viewer,White,1.65,24,M,Cap,T-shirt,Jeans,Sneakers,None,No,No,None,Crawling,816,149,1037,528,5
Viewer,Native,1.68,28,M,None,T-shirt,Shorts,Sneakers,None,No,No,None,Crawling,103,135,322,530,5
Viewer,Native,1.70,23,F,None,Bikini,Bikini,None,None,No,No,None,Standing,329,396,663,513,5
Viewer,White,1.64,25,F,None,Blouse,Shorts,Sneakers,None,No,No,None,Crawling,596,366,907,466,5
Viewer,White,1.68,27,F,None,Blouse,Shorts,Sneakers,None,No,No,None,Crawling,528,432,893,523,5
Law Officer,Black,1.71,31,M,Helmet,Jacket,Pants,Boots,None,No,No,None,Crouched,370,200,557,562,13
Law Officer,Native,1.73,27,M,None,T-shirt,Pants,Sneakers,None,No,No,None,Standing,205,126,374,336,13
Law Officer,Native,1.71,32,M,None,T-shirt,Shorts,Sneakers,None,No,No,None,Standing,178,152,1187,664,13
Viewer,Native,1.65,18,M,None,T-shirt,Jeans,Sneakers,None,No,No,None,Crawling,245,86,442,469,5
Viewer,Native,1.67,18,M,None,T-shirt,Shorts,Sneakers,None,No,No,None,Crawling,340,25,511,374,5
Viewer,Native,1.62,22,M,None,T-shirt,Jeans,Sneakers,None,No,No,None,Crawling,480,54,746,488,5
Law Officer,N.I,1.70,33,M,Helmet,Jacket,Pants,Boots,None,No,Gun,None,Moving,561,17,758,584,11
Law Officer,N.I,1.68,41,M,Cap,T-shirt,Shorts,N.I,None,No,No,None,Moving,733,30,950,575,11
Viewer,White,N.I,26,F,Glasses,Blouse,Skirt,N.I,None,No,No,None,Crawling,952,57,1202,682,12
Victim,White,1.73,40,M,Face mask,T-shirt,Jeans,Sneakers,None,No,No,None,Standing,206,64,334,261,5
Delinquent ,Black,1.78,34,M,Cap|face mask,Coat,Joggers,Sneakers,None,No,Gun,None,Moving,345,19,410,191,10
Viewer,White,1.66,19,F,Face mask,T-shirt,Jeans,Sneakers,None,No,No,None,Standing,416,50,465,172,6
Delinquent ,Native,1.72,29,M,Cap|face mask,Sweater,Pants,Sneakers,None,No,Gun,None,Standing,298,46,334,133,10
Victim,White,1.70,46,M,Face mask,T-shirt,Shorts,Sneakers,None,No,No,None,Standing,370,121,440,251,5
Viewer,Native,1.69,22,M,Cap|face mask,Sweater,Pants,Sneakers,None,No,No,None,Standing,436,99,494,196,1
Viewer,White,1.70,54,M,None,Coat|shirt,N.I,N.I,None,No,No,None,Standing,140,37,346,217,1
Delinquent ,Black,1.83,31,M,Helmet,T-shirt,Pants,Sneakers,None,No,No,None,Moving,84,82,114,171,10
Delinquent ,Black,1.75,37,M,Helmet,T-shirt,Jeans,Sneakers,None,No,No,None,Moving,94,77,155,188,10
Delinquent ,Native,1.68,18,M,None,Sweater,Shorts,Sneakers,None,No,No,None,Moving,177,146,239,288,3
Delinquent ,Native,1.70,19,M,Cap,Sports T-shirt,Pants,Sneakers,None,No,No,None,Moving,330,156,377,255,3
Delinquent ,Native,1.67,26,M,None,T-shirt,Jeans,Sneakers,None,No,No,None,Moving,301,155,325,225,3
Delinquent ,Native,1.72,23,M,None,Sports T-shirt,Joggers,Sneakers,None,No,No,None,Moving,221,153,236,188,3
Delinquent ,Native,1.77,25,M,None,Sweater,Joggers,Sneakers,None,No,No,None,Moving,247,158,273,198,3
Delinquent ,Black,1.68,18,M,None,Coat,Shorts,Sneakers,None,No,No,None,Moving,186,16,245,161,3
Viewer,Native,1.71,17,M,None,Sports T-shirt,Jeans,Sneakers,None,No,No,None,Moving,237,17,267,115,6
Viewer,Native,1.65,19,M,None,Sports T-shirt,Pants,Sneakers,None,No,No,None,Moving,272,8,296,110,6
Viewer,Black,1.73,23,M,None,T-shirt,Shorts,Sneakers,None,No,No,None,Moving,306,5,341,170,6
Viewer,Native,1.66,16,M,None,Coat|backpack,Joggers,Sneakers,None,No,No,None,Moving,213,91,258,268,6
Viewer,White,1.77,21,M,Cap,Sweater,Joggers,Sneakers,None,No,No,None,Moving,264,96,293,191,6
Viewer,Black,1.71,26,M,None,Sweater,Shorts,Sneakers,None,No,No,None,Moving,288,104,309,168,6
Delinquent ,Black,1.71,27,M,Cap,Coat,Joggers,Sneakers,None,No,No,None,Moving,297,131,352,222,3
Delinquent ,White,1.71,22,M,None,T-shirt,Joggers,Sneakers,None,No,No,None,Moving,322,106,336,144,3
Victim,Native,1.70,26,M,None,Sports T-shirt,Pants,Sneakers,None,No,No,None,Moving,264,107,359,323,3
Law Officer,Native,1.76,48,M,None,Sweater,Pants,Boots,None,No,No,None,Moving,201,122,265,294,4
Viewer,White,1.80,34,M,Cap,T-shirt,Joggers,Sneakers,None,No,No,None,Moving,260,51,323,259,2
Viewer,Native,1.68,29,M,Cap,Sweater,Pants,Shoes,None,No,No,None,Standing,298,52,345,204,2
Viewer,Native,1.70,18,M,None,Coat,N.I,N.I,None,No,No,None,Standing,26,189,121,341,2
